fecha,bitcoin,ethereum,tether,binancecoin,ripple,usd-coin,staked-ether,dogecoin,cardano,solana,tron,polkadot,monero
2023-06-17,26501.044,1726.373,0.999,244.427,0.481,0.999,1725.300,0.062,0.267,15.626,0.072,4.520,136.351
2023-06-18,26333.093,1719.273,1.000,244.003,0.489,1.000,1717.346,0.062,0.261,15.434,0.070,4.526,137.307
2023-06-19,26779.387,1734.793,1.000,242.741,0.494,1.000,1732.312,0.062,0.263,16.039,0.070,4.518,138.241
2023-06-20,28330.891,1790.190,0.999,247.323,0.492,1.000,1790.503,0.063,0.270,16.625,0.070,4.665,142.228
2023-06-21,30101.765,1892.900,1.001,249.358,0.501,1.000,1892.281,0.066,0.287,17.263,0.072,4.834,145.245
2023-06-22,29935.632,1874.178,1.001,240.918,0.495,1.000,1873.398,0.066,0.290,16.645,0.072,4.832,150.092
2023-06-23,30629.244,1891.345,1.001,244.300,0.496,1.000,1891.471,0.068,0.296,17.101,0.073,5.101,154.133
2023-06-24,30537.817,1875.060,1.001,236.507,0.487,1.000,1873.456,0.067,0.290,16.631,0.072,5.005,156.460
2023-06-25,30454.757,1899.147,1.000,238.740,0.490,0.999,1898.478,0.067,0.292,16.960,0.073,5.191,163.402
2023-06-26,30285.505,1859.802,1.000,236.170,0.479,1.001,1858.746,0.065,0.281,16.284,0.074,5.024,163.553
2023-06-27,30693.546,1890.013,1.000,237.496,0.484,1.000,1888.537,0.066,0.286,16.604,0.074,5.094,167.845
2023-06-28,30083.477,1828.458,0.999,230.498,0.465,1.000,1828.364,0.063,0.267,15.996,0.074,4.876,164.657
2023-06-29,30466.610,1853.445,1.000,233.406,0.475,1.000,1853.440,0.063,0.276,17.998,0.074,4.992,164.141
2023-06-30,30480.781,1934.046,1.000,240.515,0.474,1.000,1933.602,0.066,0.287,18.930,0.076,5.168,168.135
2023-07-01,30583.620,1924.567,1.000,247.346,0.473,1.000,1920.944,0.068,0.292,18.613,0.077,5.346,167.033
2023-07-02,30571.887,1933.960,0.999,245.631,0.484,1.000,1932.883,0.068,0.292,19.447,0.076,5.493,168.516
2023-07-03,31134.713,1953.781,1.000,246.032,0.490,1.000,1953.637,0.068,0.296,19.205,0.077,5.415,168.823
2023-07-04,30775.624,1937.000,1.000,242.477,0.488,1.000,1937.366,0.069,0.293,19.219,0.077,5.349,165.932
2023-07-05,30484.794,1910.505,0.999,238.863,0.478,0.999,1909.732,0.067,0.284,18.972,0.077,5.205,166.820
2023-07-06,29990.055,1855.475,1.000,232.496,0.464,1.000,1855.557,0.065,0.280,19.919,0.077,5.031,165.928
2023-07-07,30315.265,1869.317,1.000,235.339,0.468,1.000,1868.816,0.065,0.284,21.439,0.079,5.113,165.243
2023-07-08,30264.197,1864.869,1.000,236.155,0.470,1.001,1863.886,0.066,0.291,21.897,0.080,5.123,167.259
2023-07-09,30169.871,1866.917,1.000,234.140,0.468,1.000,1862.660,0.065,0.284,21.351,0.077,5.076,165.718
2023-07-10,30394.281,1875.274,1.000,245.439,0.477,1.000,1879.147,0.065,0.288,21.303,0.078,5.129,163.514
2023-07-11,30620.814,1875.866,1.000,248.398,0.475,1.000,1878.376,0.065,0.293,22.068,0.077,5.213,165.250
2023-07-12,30407.416,1873.507,1.001,244.269,0.471,1.000,1872.938,0.065,0.289,21.998,0.078,5.149,163.708
2023-07-13,31446.015,2003.254,1.000,255.788,0.813,0.999,2003.045,0.071,0.357,25.990,0.082,5.542,164.902
2023-07-14,30311.828,1935.940,1.001,247.696,0.720,1.000,1935.581,0.068,0.329,26.708,0.080,5.448,160.354
2023-07-15,30297.971,1931.389,1.001,251.093,0.713,1.000,1930.482,0.072,0.326,27.351,0.081,5.431,164.663
2023-07-16,30237.335,1923.036,1.001,242.749,0.748,1.000,1923.093,0.070,0.315,27.365,0.080,5.309,165.564
2023-07-17,30147.860,1912.123,1.000,244.197,0.739,0.999,1910.593,0.070,0.313,26.862,0.080,5.302,168.293
2023-07-18,29848.032,1897.199,1.000,240.271,0.781,1.001,1896.009,0.069,0.307,25.526,0.080,5.177,166.846
2023-07-19,29919.875,1889.224,1.000,241.333,0.821,1.000,1890.214,0.070,0.324,26.353,0.080,5.199,165.910
2023-07-20,29787.042,1891.015,1.000,242.625,0.793,0.999,1890.760,0.071,0.316,25.335,0.081,5.349,165.901
2023-07-21,29914.683,1891.472,1.000,243.769,0.773,1.000,1891.516,0.073,0.313,25.590,0.080,5.486,162.074
2023-07-22,29710.156,1858.311,1.000,240.538,0.731,1.000,1858.692,0.070,0.308,24.457,0.084,5.296,161.936
2023-07-23,30057.957,1887.827,1.000,242.381,0.738,1.000,1886.872,0.072,0.317,24.774,0.083,5.397,163.564
2023-07-24,29184.902,1850.431,1.000,238.965,0.704,1.000,1850.728,0.074,0.305,23.423,0.082,5.219,160.850
2023-07-25,29222.975,1857.597,1.000,237.730,0.710,1.002,1857.223,0.082,0.304,23.268,0.082,5.175,162.795
2023-07-26,29363.673,1871.533,1.001,239.020,0.716,1.001,1871.912,0.078,0.307,25.152,0.082,5.239,163.285
2023-07-27,29200.244,1858.777,1.000,240.417,0.713,1.000,1857.889,0.078,0.307,25.093,0.083,5.232,162.145
2023-07-28,29314.097,1874.694,1.000,241.858,0.712,1.000,1874.511,0.077,0.310,24.826,0.085,5.217,163.285
2023-07-29,29356.748,1880.918,1.000,242.556,0.713,0.999,1879.406,0.080,0.313,25.165,0.083,5.253,163.185
2023-07-30,29277.756,1861.870,1.000,242.540,0.705,1.000,1859.788,0.078,0.315,24.267,0.080,5.188,160.230
2023-07-31,29233.136,1857.276,1.000,241.194,0.699,1.000,1857.553,0.078,0.307,23.757,0.078,5.111,161.595
2023-08-01,29537.110,1869.745,1.000,247.429,0.707,1.003,1879.225,0.078,0.309,23.926,0.079,5.190,160.286
2023-08-02,29146.636,1838.012,0.999,240.379,0.685,1.000,1836.065,0.074,0.299,23.135,0.076,5.054,159.599
2023-08-03,29176.151,1835.701,0.999,241.144,0.664,1.000,1835.268,0.074,0.292,22.654,0.077,4.977,160.452
2023-08-04,29087.938,1828.461,0.999,241.492,0.636,1.000,1827.436,0.073,0.293,22.810,0.077,4.991,158.510
2023-08-05,29046.800,1835.071,0.999,242.882,0.628,1.000,1835.101,0.076,0.294,22.625,0.077,4.968,159.642
2023-08-06,29044.204,1826.707,0.998,242.575,0.622,1.000,1826.235,0.074,0.292,23.160,0.077,4.994,159.589
2023-08-07,29178.148,1826.933,0.999,241.738,0.621,1.000,1821.724,0.073,0.290,23.052,0.077,4.957,158.267
2023-08-08,29779.562,1856.844,1.000,245.179,0.643,1.000,1856.795,0.075,0.298,24.204,0.077,5.062,158.945
2023-08-09,29585.488,1855.891,1.000,244.010,0.644,1.000,1855.359,0.075,0.301,24.385,0.077,5.058,157.317
2023-08-10,29423.819,1850.877,0.999,241.232,0.633,1.000,1849.451,0.076,0.296,24.619,0.077,4.999,155.967
2023-08-11,29396.848,1847.542,0.999,239.596,0.632,1.000,1846.298,0.076,0.293,24.580,0.077,5.003,156.755
2023-08-12,29412.142,1848.505,0.999,240.088,0.627,1.000,1846.711,0.077,0.292,24.892,0.077,5.032,157.684
2023-08-13,29284.970,1839.513,0.999,240.031,0.626,1.000,1837.913,0.075,0.289,24.223,0.077,4.985,158.131
2023-08-14,29400.587,1843.513,0.999,240.358,0.635,1.000,1842.553,0.075,0.290,25.148,0.077,4.986,158.181
2023-08-15,29170.490,1826.913,0.999,236.607,0.609,1.000,1826.361,0.071,0.282,23.876,0.076,4.811,155.293
2023-08-16,29112.960,1820.629,0.998,233.683,0.597,1.000,1819.445,0.070,0.277,23.287,0.076,4.770,155.723
